age_yrBP,warming_count_20k,cold_fraction_20k,mean_cold_duration_yr,mean_warm_duration_yr,pre_phase_like,lr04_10k,co2_10k,mean_cold_duration_kyr_raw,mean_cold_duration_kyr,Time
718000.0,7.0,0.4239401496259352,1275.0,1466.6666666666667,-0.011809595292671327,4.5625,213.1924462887067,1.275,1.275,72
717000.0,7.0,0.4089775561097257,1171.4285714285713,1750.0,-0.019534134035568126,4.503500000000001,213.82217437333398,1.1714285714285713,1.1714285714285713,73
716000.0,7.0,0.456359102244389,1171.4285714285713,1528.5714285714287,-0.02540576685601191,4.4399999999999995,214.50191871876146,1.1714285714285713,1.1714285714285713,74
715000.0,6.0,0.47880299251870323,1275.0,1675.0,-0.028890823800446046,4.372,216.41439722595524,1.275,1.275,75
714000.0,6.0,0.49875311720698257,1240.0,1675.0,-0.02972069139831607,4.302,220.20309905178883,1.24,1.24,76
713000.0,6.0,0.46384039900249374,1550.0,1910.0,-0.027844875684495146,4.2299999999999995,224.55141446884045,1.55,1.55,77
712000.0,5.0,0.43640897755610975,1750.0,1737.5,-0.02346901887895173,4.16,227.89646814058779,1.75,1.75,78
711000.0,5.0,0.43640897755610975,1750.0,1737.5,-0.017005311426628228,4.0920000000000005,229.71251787044994,1.75,1.75,79
710000.0,5.0,0.48129675810473815,1750.0,1980.0,-0.009131147765414257,4.0355,230.7328304634671,1.75,1.75,80
709000.0,5.0,0.5062344139650873,1412.5,1980.0,-0.0003835698003859006,3.9905,231.25445646194052,1.4125,1.4125,81
708000.0,6.0,0.47381546134663344,1580.0,1758.3333333333333,0.008266043595351272,3.9530000000000003,231.9270517346999,1.58,1.58,82
707000.0,6.0,0.47381546134663344,1580.0,1758.3333333333333,0.016175833125022653,3.9229999999999996,232.60303347091136,1.58,1.58,83
706000.0,6.0,0.46384039900249374,1550.0,1420.0,0.022746681778715385,3.8914999999999997,233.72322709622932,1.55,1.55,84
705000.0,6.0,0.46384039900249374,1550.0,1420.0,0.027294270396604904,3.8585000000000003,234.559917410398,1.55,1.55,85
704000.0,6.0,0.46384039900249374,1550.0,1420.0,0.029563204611238816,3.8190000000000004,235.12923444133224,1.55,1.55,86
703000.0,6.0,0.4713216957605985,1550.0,1758.3333333333333,0.02933775881683373,3.7730000000000006,235.86140743831237,1.55,1.55,87
702000.0,6.0,0.47880299251870323,1660.0,2060.0,0.026660352801850664,3.7284999999999995,236.0388865554065,1.66,1.66,88
701000.0,6.0,0.44389027431421446,1660.0,1858.3333333333333,0.02175029994600188,3.6854999999999998,236.15151567864214,1.66,1.66,89
700000.0,5.0,0.47880299251870323,1660.0,1620.0,0.015065932076700485,3.654,236.6919561584494,1.66,1.66,90
699000.0,6.0,0.4937655860349127,1650.0,1620.0,0.0070963634463422545,3.6340000000000003,237.276554668032,1.65,1.65,91
698000.0,6.0,0.4937655860349127,1650.0,1620.0,-0.0014816840989765533,3.6214999999999997,238.08532875686888,1.65,1.65,92
697000.0,5.0,0.46633416458852867,1870.0,1975.0,-0.009854643566119276,3.6165,238.96876454565168,1.87,1.87,93
696000.0,5.0,0.4613466334164589,1562.5,2160.0,-0.017514049140019135,3.6165000000000007,239.1557169587465,1.5625,1.5625,94
695000.0,6.0,0.4488778054862843,1560.0,2160.0,-0.02366495922785346,3.6214999999999997,238.58528364666145,1.56,1.56,95
694000.0,6.0,0.39900249376558605,1560.0,2160.0,-0.027838668185236316,3.643,237.4897662506287,1.56,1.56,96
693000.0,5.0,0.3915211970074813,1560.0,2010.0,-0.029699530439923082,3.6809999999999996,236.07468768022233,1.56,1.56,97
692000.0,5.0,0.44139650872817954,1560.0,2010.0,-0.0290570809357658,3.7314999999999996,234.4256603076305,1.56,1.56,98
691000.0,5.0,0.4912718204488778,1560.0,2010.0,-0.0259531266300467,3.7945,232.61743184102443,1.56,1.56,99
690000.0,6.0,0.45885286783042395,1560.0,2010.0,-0.02067878032400592,3.8455,230.99967483930754,1.56,1.56,100
689000.0,6.0,0.4089775561097257,1560.0,2010.0,-0.013609085910713916,3.8845,229.51682419717167,1.56,1.56,101
688000.0,5.0,0.38902743142144636,1560.0,2350.0,-0.005390858362229938,3.9260000000000006,227.59722680259037,1.56,1.56,102
687000.0,6.0,0.371571072319202,1400.0,2520.0,0.003259361966169462,3.97,226.087840019579,1.4,1.4,103
