age_yrBP,pre,ecc,ecc_safe,pre_envelope_proxy,pre_phase_like_raw,pre_phase_like,pre_phase_like_z,pre_z,pre_deamp_unit
13000.0,-0.017942,0.019651,0.019651,0.7112196887441187,-0.025227085644496463,-0.027184310486619928,-1.304130860745367,-0.8604807074418231,-0.9130324156531475
13100.0,-0.017711,0.019655,0.019655,0.7113644589214622,-0.024897223607224628,-0.02682885634636323,-1.2871298747815767,-0.8494322280098509,-0.9010938692444672
13200.0,-0.017465,0.01966,0.01966,0.7115454216431416,-0.024545165310274668,-0.026449483865984537,-1.268984900554216,-0.8376663148485296,-0.888351983723296
13300.0,-0.017206,0.019664,0.019664,0.7116901918204851,-0.024176249999999996,-0.026051946533329456,-1.2499711211460738,-0.8252786257884392,-0.8749999999999999
13400.0,-0.016932,0.019668,0.019668,0.7118349619978286,-0.023786412446613784,-0.025631863720755068,-1.2298790158887005,-0.812173502999,-0.8608907870652835
13500.0,-0.016644,0.019672,0.019672,0.7119797321751719,-0.02337706994713298,-0.025190762685222537,-1.2087816318259175,-0.798398775395502,-0.8460756405042701
13600.0,-0.016343,0.019674,0.019674,0.7120521172638438,-0.022951971637694416,-0.02473268343683198,-1.1868721982585735,-0.784002271893235,-0.8306902510928128
13700.0,-0.016028,0.019677,0.019677,0.7121606948968513,-0.022506156426284493,-0.024252279980903277,-1.1638950220599729,-0.7689361635769091,-0.8145550642882553
13800.0,-0.015699,0.019678,0.019678,0.7121968874411871,-0.022043061794897855,-0.023753256493937492,-1.140027269974204,-0.7532004504465242,-0.7977944913100925
13900.0,-0.015357,0.019679,0.019679,0.712233079985523,-0.021561761776513033,-0.023234615168444418,-1.1152212179513419,-0.7368429614173702,-0.7803750190558464
14000.0,-0.015001,0.019679,0.019679,0.712233079985523,-0.021061925402713552,-0.022695999358066987,-1.0894598079829863,-0.7198158675741572,-0.7622846689364298
14100.0,-0.014632,0.019678,0.019678,0.7121968874411871,-0.020544880577294436,-0.022138839991037218,-1.0628114798143318,-0.7021669978321753,-0.7435715011688179
14200.0,-0.01425,0.019676,0.019676,0.7121245023525153,-0.020010545842650947,-0.02156304928992216,-1.0352720351459739,-0.6838963521914244,-0.7242325675950397
14300.0,-0.013855,0.019673,0.019673,0.7120159247195078,-0.019458834443145424,-0.020968533768211957,-1.0068370026195517,-0.6650039306519044,-0.704264728307833
14400.0,-0.013448,0.019669,0.019669,0.7118711545421643,-0.018891059026895113,-0.020356707914860342,-0.977574035707412,-0.6455375621289056,-0.6837154913823784
14500.0,-0.01303,0.019665,0.019665,0.7117263843648208,-0.018307597254004576,-0.019727978690452674,-0.9475025988929181,-0.6255450755377174,-0.6625985252987542
14600.0,-0.0126,0.01966,0.01966,0.7115454216431416,-0.01770793489318413,-0.019081791967443754,-0.9165961888566511,-0.6049786419630502,-0.6408952187182095
14700.0,-0.01216,0.019655,0.019655,0.7113644589214622,-0.01709390994657848,-0.018420128348019697,-0.8849495356527934,-0.5839339192354838,-0.6186720936148563
14800.0,-0.01171,0.019648,0.019648,0.7111111111111111,-0.0164671875,-0.017744782102448117,-0.8526484572819822,-0.562410907355018,-0.5959894136807818
14900.0,-0.011249,0.019642,0.019642,0.710893955845096,-0.015823738417676408,-0.01705141149742814,-0.8194852933499586,-0.5403617774063632,-0.5727013542409124
15000.0,-0.010779,0.019635,0.019635,0.7106406080347448,-0.015168004583651643,-0.016344803037302676,-0.7856889771674742,-0.5178821872200989,-0.5489686783804432
15100.0,-0.010301,0.019628,0.019628,0.7103872602243938,-0.014500541573262684,-0.01562555540131164,-0.751288142913181,-0.49501996571151535,-0.5248114937843896
